restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,Total Nutrient ,"Health_Score   1= HIGH_HEALTHY,0=LOW_HEALTHY"
Subway,Footlong Roast Beef,640,80,10,4,1,80,1400,90,10,14,48,16,40,60,2493,1
Subway,"6"" Rotisserie Style Chicken",350,50,6,2,1,50,540,44,5,7,29,8,20,30,1142,1
Subway,Footlong Rotisserie Style Chicken,700,100,12,3,1,100,1080,88,10,14,58,16,40,60,2282,1
Subway,"6"" Spicy Italian",480,220,24,9,1,50,1520,46,5,8,20,8,20,30,2441,1
Subway,Footlong Spicy Italian,960,440,48,18,2,100,3040,92,10,16,40,16,40,60,4882,1
Subway,"6"" Steak and Cheese",380,90,10,5,1,50,1060,48,5,8,26,10,20,40,1753,1
Subway,Footlong Steak and Cheese,760,180,20,10,1,100,2120,96,10,16,52,20,40,80,3505,1
Subway,"6"" Subway Club",310,40,5,2,1,40,880,46,5,7,23,8,20,30,1417,1
Subway,Footlong Subway Club,620,80,10,4,1,80,1760,92,10,14,46,16,40,60,2833,1
Subway,"6"" Subway Melt (includes cheese)",370,100,11,5,1,45,1210,47,5,8,23,10,20,40,1895,1
Subway,Footlong Subway Melt (includes cheese),740,200,22,10,1,90,1420,94,10,16,46,20,40,80,2789,1
Subway,"6"" Subway Seafood Sensation",420,170,19,3,1,20,690,51,5,8,13,10,20,35,1465,1
Subway,Footlong Subway Seafood Sensation,840,340,38,6,1,40,1380,102,10,16,26,20,40,70,2929,1
Subway,"6"" Sweet Onion Chicken Teriyaki",380,40,5,1,1,50,900,59,5,18,26,8,30,35,1558,1
Subway,Footlong Sweet Onion Chicken Teriyaki,760,80,10,2,1,100,1800,118,10,36,52,16,60,70,3115,1
Subway,"6"" Tuna",470,210,24,4,1,30,620,44,5,6,20,8,20,30,1492,1
Subway,Footlong Tuna,940,420,48,8,1,60,1240,88,10,12,40,16,40,60,2983,1
Subway,"6"" Turkey & Bacon Avocado",390,110,13,4,1,30,860,49,8,7,22,10,200,30,1734,1
Subway,Footlong Turkey & Bacon Avocado,780,220,26,7,1,60,1720,98,16,14,44,20,400,60,3466,1
Subway,Kids Mini Sub Turkey Breast,180,20,2,1,1,10,380,30,3,5,10,6,15,20,683,1
Subway,"6"" Turkey Breast",280,30,4,1,1,20,810,46,5,7,18,8,20,30,1280,1
Subway,Footlong Turkey Breast,560,60,8,2,1,40,1620,92,10,14,36,16,40,60,2559,1
Subway,"6"" Turkey Breast & Ham",280,35,4,1,1,20,820,46,5,8,18,8,20,30,1296,1
Subway,Footlong Turkey Breast & Ham,560,70,8,2,1,40,1640,92,10,16,36,16,40,60,2591,1
Subway,"6"" Turkey Italiano Melt (with Provolone)",490,210,24,9,1,50,1480,47,5,8,24,10,20,45,2423,1
Subway,Footlong Turkey Italiano Melt (with Provolone),980,420,48,18,2,100,2960,94,10,16,48,20,40,90,4846,1
Subway,Kids Mini Sub Veggie Delite,150,15,2,8,1,74,190,29,3,4,6,6,15,20,524,1
Subway,"6"" Veggie Delite",230,20,3,1,1,74,310,44,5,6,8,8,20,30,761,1
Subway,Footlong Veggie Delite,460,40,6,2,1,74,620,88,10,12,16,16,40,60,1446,1
Subway,"6"" Veggie Patty",390,70,7,1,1,10,800,56,8,8,23,15,20,35,1444,1
Subway,Footlong Veggie Patty,780,140,14,2,1,20,1600,112,16,16,46,30,20,70,2867,1
Subway,Autumn Carved Turkey Salad,300,80,9,3,1,60,1120,26,3,22,25,40,40,15,1744,1
Subway,B.L.T. Salad,150,70,8,4,1,20,420,10,4,5,10,50,50,6,808,1
Subway,Big Hot Pastrami Melt Salad,400,300,29,11,1,85,1250,12,4,4,23,25,70,10,2224,1
Subway,Big Philly Cheesesteak Salad,330,140,16,8,1,85,1080,17,5,6,32,60,50,25,1855,1
Subway,Black Forest Ham Salad,110,25,3,1,1,20,590,11,4,6,12,25,45,4,857,1
Subway,Buffalo Chicken Salad (with Ranch dressing),360,230,26,4,1,60,1100,13,4,6,20,50,60,8,1942,1
Subway,Carved Turkey & Bacon w/ Cheese Salad,280,110,12,5,1,65,1320,11,4,5,28,50,50,15,1956,1
Subway,Carved Turkey Salad,150,30,4,8,1,45,680,8,3,3,19,40,40,6,1038,1
Subway,Chicken & Bacon Ranch Melt Salad (includes Ranch dressing),510,340,38,12,1,100,1040,14,4,7,30,60,60,30,2246,1
Subway,Cold Cut Combo Salad,180,95,11,4,1,45,820,12,4,5,12,50,50,10,1299,1
Subway,Double Chicken Salad,220,35,5,2,1,100,490,10,4,4,36,50,60,8,1025,1
Subway,Italian B.M.T.® Salad,230,135,15,6,1,45,1060,12,4,6,14,50,50,6,1634,1
Subway,Italian Hero Salad,230,140,15,5,1,45,1060,13,4,8,14,40,60,4,1639,1
Subway,Meatball Marinara Salad,310,150,17,7,1,30,720,25,6,10,16,60,70,10,1432,1
Subway,Oven Roasted Chicken Salad,140,25,3,1,1,50,280,10,4,4,19,50,60,8,655,1
Subway,Roast Beef Salad,140,30,4,1,1,40,450,10,4,5,18,25,45,4,777,1
Subway,Spicy Italian Salad,310,205,23,9,1,50,1280,11,4,6,15,50,50,8,2022,1
Subway,Steak & Cheese Salad,210,75,8,4,1,50,830,14,4,6,20,50,50,15,1337,1
Subway,Subway Club Salad,140,30,4,1,1,40,640,11,4,5,17,25,45,6,969,1
Subway,Subway Melt® Salad,200,85,10,5,1,45,910,13,4,6,18,50,50,15,1412,1
Subway,Sweet Onion Chicken Teriyaki Salad,200,25,3,1,1,50,660,24,4,16,20,25,50,6,1085,1
Subway,Tuna Salad,310,215,24,4,1,40,370,10,4,4,15,50,50,6,1103,1
Subway,Turkey Breast & Ham Salad,110,20,3,1,1,25,580,11,4,5,12,25,45,6,848,1
Subway,Turkey Breast Salad,110,20,2,1,1,20,570,11,4,5,12,25,45,6,832,1
Subway,Veggie Delite Salad,50,10,1,8,1,74,65,9,4,4,3,25,45,4,304,1
Subway,Chipotle Southwest Steak & Cheese Wrap,760,330,37,12,1,100,2250,65,4,7,43,15,45,30,3699,1
Subway,Rotisserie-Style Chicken Caesar Wrap,730,310,34,10,1,135,1900,53,3,4,55,15,8,45,3303,1
Subway,"Turkey, Bacon & Guacamole Wrap",810,380,42,13,1,75,2970,62,3,6,43,10,30,30,4475,1
Subway,Cheese & Veggies Pizza,740,230,25,11,1,50,1270,100,5,9,36,35,30,60,2602,1
Subway,Cheese Pizza,680,200,22,9,1,40,1070,96,4,7,32,25,4,45,2235,1
Subway,Pepperoni Pizza,790,290,32,13,1,60,1350,96,4,8,38,30,4,60,2776,1
Subway,Sausage Pizza,820,310,34,14,1,70,1420,97,4,8,39,30,4,60,2911,1
Taco Bell,1/2 lb.* Cheesy Potato Burrito,540,230,26,7,1,45,1360,59,7,4,19,21,22,25,2367,1
Taco Bell,1/2 lb.* Combo Burrito,460,170,18,7,1,45,1320,53,9,3,21,21,22,25,2176,1
Taco Bell,7-Layer Burrito,510,170,19,7,1,20,1090,68,11,4,16,21,22,25,1985,1
Taco Bell,Bean Burrito,370,100,11,4,1,5,960,56,9,3,13,21,22,25,1601,1
Taco Bell,Beefy 5-Layer Burrito,550,200,22,8,1,35,1270,68,8,5,19,21,22,25,2255,1
Taco Bell,Beefy Fritos® Burrito,440,160,18,5,1,20,1030,55,4,3,13,21,22,25,1818,1
Taco Bell,Black Bean Burrito,410,110,12,4,1,10,1100,62,8,3,14,21,22,25,1803,1
Taco Bell,Burrito Supreme® – Beef,420,140,16,7,1,35,1090,53,8,5,16,21,22,25,1860,1
Taco Bell,Burrito Supreme® - Chicken,390,110,12,5,1,40,1050,52,7,5,19,21,22,25,1760,1
Taco Bell,Burrito Supreme® - Steak,390,120,13,5,1,30,1090,52,7,5,17,21,22,25,1799,1
Taco Bell,Cantina Power Burrito - Chicken,760,240,27,6,1,60,1960,96,12,7,32,21,22,25,3270,1
Taco Bell,Cantina Power Burrito - Steak,780,250,28,7,1,50,1900,98,13,7,33,21,22,25,3236,1
Taco Bell,Cantina Power Burrito - Veggie,740,230,26,5,1,10,1750,107,17,8,20,21,22,25,2983,1
Taco Bell,Cheesy Bean and Rice Burrito,420,160,17,4,1,74,930,55,6,4,11,21,22,25,1751,1
Taco Bell,Chili Cheese Burrito,380,150,17,8,1,35,930,41,5,2,16,21,22,25,1654,1
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,210,24,9,1,55,1510,74,5,5,25,10,4,35,2577,1
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,220,24,9,1,50,1520,75,5,5,25,10,4,40,2598,1
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,240,26,10,1,45,1530,76,7,5,22,15,4,35,2646,1
Taco Bell,Loaded Taco Burrito,550,260,29,9,1,50,1130,52,7,4,20,15,6,20,2153,1
Taco Bell,Chicken Quesarito,620,270,30,10,1,60,1440,64,4,4,24,21,22,25,2596,1
Taco Bell,Steak Quesarito,630,280,31,11,1,65,1410,64,3,4,25,21,22,25,2592,1
Taco Bell,Beef Quesarito,650,300,34,12,1,60,1450,65,6,5,22,21,22,25,2673,1
Taco Bell,Shredded Chicken Burrito,400,160,18,5,1,30,960,45,3,3,16,21,22,25,1710,1
Taco Bell,Smothered Burrito - Beef,710,320,35,13,1,75,2260,70,10,4,28,21,22,25,3595,1
Taco Bell,Smothered Burrito - Shredded Chicken,650,250,28,10,1,70,2230,67,8,4,34,21,22,25,3421,1
Taco Bell,Smothered Burrito - Steak,670,260,29,11,1,80,2080,68,7,4,35,21,22,25,3313,1
Taco Bell,Chicken Spicy Cheesy Core Burrito,540,180,20,8,1,55,1740,66,5,5,24,15,8,35,2702,1
Taco Bell,Steak Spicy Cheesy Core Burrito,550,190,21,9,1,50,1750,66,5,5,24,10,6,35,2722,1
Taco Bell,Beef Spicy Cheesy Core Burrito,570,210,23,10,1,45,1760,68,7,5,22,15,6,35,2777,1
Taco Bell,Triple Melt Burrito,410,140,16,6,1,30,1030,50,4,3,15,6,2,20,1733,1
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,380,42,14,1,75,2020,94,12,6,31,21,22,25,3624,1
Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,320,35,11,1,85,1940,91,10,6,37,21,22,25,3435,1
Taco Bell,XXL Grilled Stuft Burrito - Steak,820,320,36,12,1,70,2020,91,10,7,33,21,22,25,3489,1
Taco Bell,Chicken Soft Taco,170,50,6,3,1,30,460,18,1,1,12,21,22,25,821,1
Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,320,120,14,5,1,25,770,36,6,2,13,21,22,25,1381,1
Taco Bell,Cool Ranch® Doritos® Locos Taco,160,90,10,4,1,25,350,13,2,1,8,21,22,25,733,1
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,100,12,5,1,35,370,15,3,3,9,21,22,25,822,1
Taco Bell,Crunchy Taco,170,90,10,4,1,25,290,12,3,1,8,21,22,25,683,1
Taco Bell,Crunchy Taco Supreme®,200,110,12,5,1,35,320,15,3,2,9,21,22,25,781,1
Taco Bell,Double Decker® Taco,320,120,14,5,1,25,640,37,7,2,13,21,22,25,1253,1
Taco Bell,DOUBLE DECKER® Taco Supreme®,350,140,16,6,1,35,670,40,7,3,14,21,22,25,1351,1
Taco Bell,Spicy Sweet Double Stacked Taco,340,160,18,7,1,35,640,32,4,6,12,10,2,15,1282,1
Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,180,20,8,1,40,630,30,4,3,13,15,2,20,1316,1
Taco Bell,Nacho Crunch Double Stacked Taco,380,170,19,6,1,35,650,39,5,2,13,8,2,20,1350,1
Taco Bell,Fiery Doritos® Double Decker® Taco,320,120,13,5,1,25,770,36,7,2,14,21,22,25,1382,1
Taco Bell,Fiery Doritos® Locos Taco,170,90,10,4,1,25,370,12,3,1,8,21,22,25,763,1
Taco Bell,Fiery Doritos® Locos Taco Supreme,200,110,12,5,1,30,390,15,3,2,9,21,22,25,846,1
Taco Bell,Grilled Steak Soft Taco,250,130,14,4,1,30,550,19,2,2,11,21,22,25,1082,1
Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,120,13,5,1,25,760,36,7,2,14,21,22,25,1372,1
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,80,9,4,1,25,340,13,2,1,8,21,22,25,722,1
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,100,11,5,1,35,370,15,3,2,9,21,22,25,820,1
Taco Bell,Soft Taco Supreme® – Beef,230,100,11,5,1,35,530,22,3,3,10,21,22,25,1019,1
Taco Bell,Soft Taco-Beef,200,80,9,4,1,25,510,19,3,1,10,21,22,25,931,1
Taco Bell,Spicy Potato Soft Taco,250,120,13,3,1,10,510,28,3,1,6,21,22,25,1014,1
Taco Bell,Chalupa Supreme® - Chicken,340,160,18,4,1,40,530,29,3,4,16,21,22,25,1214,1
Taco Bell,Chalupa Supreme® - Steak,340,170,18,4,1,30,570,29,3,4,14,21,22,25,1252,1
Taco Bell,Chalupa Supreme®–Beef,370,190,21,5,1,30,570,31,4,4,13,21,22,25,1308,1
Taco Bell,Double Chalupa,600,310,35,8,1,50,1010,50,6,5,21,15,4,15,2130,1
Taco Bell,Wild Naked Chicken Chalupa,420,250,28,6,1,65,1070,23,4,2,19,6,4,6,1904,1
Taco Bell,Mild Naked Chicken Chalupa,440,270,30,7,1,70,1090,22,3,1,20,6,4,6,1970,1
Taco Bell,Spicy Double Chalupa,600,310,35,8,1,50,1240,52,7,5,21,15,8,15,2367,1
Taco Bell,Fresco Bean Burrito,350,80,9,3,1,74,950,57,9,3,11,21,22,25,1616,1
Taco Bell,Fresco Burrito Supreme® – Chicken,340,80,8,3,1,25,1020,50,7,4,17,21,22,25,1624,1
Taco Bell,Fresco Burrito Supreme® – Steak,340,80,9,3,1,15,1060,50,7,4,15,21,22,25,1653,1
Taco Bell,Fresco Chicken Soft Taco,150,35,4,1,1,25,460,18,2,2,11,21,22,25,778,1
Taco Bell,Fresco Crunchy Taco,140,70,8,2,1,20,290,13,3,1,6,21,22,25,623,1
Taco Bell,Fresco Grilled Steak Soft Taco,150,35,4,2,1,15,500,19,2,2,9,21,22,25,808,1
Taco Bell,Fresco Soft Taco,170,60,7,3,1,20,500,20,3,2,8,21,22,25,863,1
Taco Bell,Cheesy Gordita Crunch,490,260,29,10,1,55,810,39,5,6,20,21,22,25,1794,1
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,250,28,10,1,55,890,40,5,5,20,21,22,25,1863,1
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,250,28,10,1,55,890,40,5,4,20,21,22,25,1862,1
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,250,28,10,1,55,880,40,5,5,20,21,22,25,1853,1
Taco Bell,Double Cheesy Gordita Crunch,570,290,32,12,1,70,1110,44,7,5,25,15,2,30,2213,1
Taco Bell,Gordita Supreme® – Beef,300,120,14,5,1,30,550,31,4,6,13,21,22,25,1143,1
Taco Bell,Gordita Supreme® - Chicken,270,90,10,4,1,40,510,29,2,6,16,21,22,25,1047,1
Taco Bell,Gordita Supreme® - Steak,270,90,11,4,1,30,550,29,2,6,14,21,22,25,1076,1
Taco Bell,Nacho Fries Bellgrande,710,360,41,6,1,30,1420,73,10,4,13,10,4,8,2690,1
Taco Bell,Nachos BellGrande®,760,360,39,6,1,30,1100,82,13,5,18,21,22,25,2483,1
Taco Bell,Nachos Supreme,430,210,23,5,1,30,690,44,7,3,12,21,22,25,1524,1
Taco Bell,Triple Layer Nachos,320,140,15,2,1,74,600,41,6,2,7,21,22,25,1277,1
Taco Bell,Triple Melt Nachos,260,140,16,5,1,30,550,19,3,1,10,6,22,10,1073,1
Taco Bell,Beefy Cheddar Crunchwrap Slider,410,170,19,6,1,25,960,46,4,3,14,21,22,25,1727,1
Taco Bell,Beefy Mini Quesadilla,210,110,12,4,1,25,560,17,3,1,9,21,22,25,1021,1
Taco Bell,Beefy Nacho Griller,420,170,19,5,1,20,870,49,5,3,12,21,22,25,1643,1
Taco Bell,BLT Crunchwrap Slider,430,210,23,5,1,20,900,43,3,4,12,21,22,25,1720,1
Taco Bell,Cantina Power Bowl - Chicken,560,200,22,4,1,60,1520,64,9,4,26,21,22,25,2539,1
Taco Bell,Cantina Power Bowl - Steak,580,210,23,4,1,50,1460,66,10,4,27,21,22,25,2504,1
Taco Bell,Cantina Power Bowl - Veggie,540,190,21,3,1,10,1310,75,14,4,14,21,22,25,2251,1
Taco Bell,Cheese Quesadilla,480,240,27,11,1,50,1000,40,4,3,19,21,22,25,1944,1
Taco Bell,Cheese Roll-Up,190,80,9,5,1,20,450,18,2,1,9,21,22,25,854,1
Taco Bell,Chicken Quesadilla,520,250,28,12,1,75,1210,41,4,3,27,21,22,25,2240,1
Taco Bell,Chickstar,620,340,37,8,1,50,1290,53,4,4,17,8,6,15,2453,1
Taco Bell,Chili Cheese Burrito,380,150,17,8,1,35,930,41,5,2,16,21,22,25,1654,1
Taco Bell,Chipotle Crispy Chicken Griller,290,170,18,3,1,25,640,22,1,1,9,21,22,25,1249,1
Taco Bell,Crispy Chicken Quesadilla,650,340,37,13,1,75,1480,51,5,3,26,10,2,45,2738,1
Taco Bell,Crunchwrap Supreme®,540,190,21,6,1,30,1110,71,7,7,16,21,22,25,2068,1
Taco Bell,Double Tostada,270,100,11,4,1,15,650,32,8,2,12,21,22,25,1174,1
Taco Bell,Express Taco Salad w/ Chips,580,260,29,9,1,60,1270,59,8,7,23,21,22,25,2375,1
Taco Bell,Loaded Potato Griller,470,200,22,6,1,25,1120,55,4,5,13,21,22,25,1990,1
Taco Bell,Mexican Pizza,540,270,31,8,1,40,860,47,7,2,20,21,22,25,1895,1
Taco Bell,MexiMelt®,270,130,14,7,1,40,740,21,3,2,14,21,22,25,1311,1
Taco Bell,Steak Quesalupa,440,210,23,10,1,60,840,36,3,3,22,15,6,35,1704,1
Taco Bell,Chicken Quesalupa,440,200,23,10,1,60,840,37,3,3,22,15,8,35,1697,1
Taco Bell,Beef Quesalupa,460,240,26,11,1,50,890,38,4,3,19,15,6,35,1798,1
Taco Bell,Shredded Chicken Mini Quesadilla,180,70,8,3,1,25,540,15,2,1,12,21,22,25,926,1
Taco Bell,Spicy Chicken Crunchwrap Slider,400,180,20,4,1,25,900,42,3,3,15,21,22,25,1662,1
Taco Bell,Spicy Tostada,200,90,10,3,1,10,440,22,4,1,7,21,22,25,857,1
Taco Bell,Stacker,390,170,18,8,1,40,1050,39,4,3,18,8,2,30,1781,1
Taco Bell,Steak Quesadilla,520,250,28,12,1,65,1250,41,4,3,25,21,22,25,2268,1
Taco Bell,Original Triple Double Crunchwrap,700,270,30,9,1,45,1550,85,9,7,23,15,6,25,2775,1
Taco Bell,Spicy Triple Double Crunchwrap,780,340,38,10,1,50,1850,87,9,8,23,20,10,25,3251,1
Taco Bell,Express Taco Salad w/ Chips,580,260,29,9,1,60,1270,59,8,7,23,21,22,25,2375,1
Taco Bell,Fiesta Taco Salad-Beef,780,380,42,10,1,60,1340,74,11,7,26,21,22,25,2800,1
Taco Bell,Fiesta Taco Salad-Chicken,720,320,35,7,1,70,1260,70,8,8,32,21,22,25,2600,1
Taco Bell,Fiesta Taco Salad-Steak,720,320,36,8,1,55,1340,70,8,8,28,21,22,25,2663,1
